,Date,Region,Community,Turbidity(NTU),Ecoli_Count(CFU/100ml),Nitrate(mg/L),pH,Cholera_Cases,Typhoid_Cases,Diarrhea_Cases,Total_Waterborne_Cases,Risk_Level,Year,Month,Quarter,Time_Since_Start,Season
24,2019-03-26,Urban Slum,Makoko,5.39,106,27.58,6.89,7.0,3.0,9.0,19.0,High,2019,3,1,84,Dry
25,2019-03-29,Urban Slum,Makoko,7.23,117,17.83,6.7,4.0,8.0,8.0,20.0,High,2019,3,1,87,Dry
26,2019-02-04,Urban Slum,Makoko,5.55,81,17.43,6.48,5.0,1.0,1.0,7.0,Medium,2019,2,1,34,Dry
27,2019-05-04,Urban Slum,Makoko,4.84,79,17.23,6.44,4.0,3.0,4.0,11.0,High,2019,5,2,123,Rainy
28,2019-09-04,Urban Slum,Makoko,4.59,53,12.42,7.21,2.0,3.0,1.0,6.0,Medium,2019,9,3,246,Rainy
29,2019-12-04,Urban Slum,Makoko,7.29,50,15.95,6.53,1.0,1.0,1.0,3.0,Low,2019,12,4,337,Dry
30,2019-04-16,Urban Slum,Makoko,5.33,118,25.28,7.0,6.0,4.0,4.0,14.0,High,2019,4,2,105,Rainy
31,2019-04-19,Urban Slum,Makoko,4.02,90,17.04,6.54,4.0,2.0,7.0,13.0,High,2019,4,2,108,Rainy
32,2019-04-23,Urban Slum,Makoko,2.5,110,16.69,6.97,4.0,3.0,3.0,10.0,High,2019,4,2,112,Rainy
33,2019-04-26,Urban Slum,Makoko,4.1,115,25.53,7.03,10.0,4.0,3.0,17.0,High,2019,4,2,115,Rainy
34,2019-04-30,Urban Slum,Makoko,5.82,120,8.96,6.91,9.0,5.0,9.0,23.0,High,2019,4,2,119,Rainy
35,2019-03-05,Urban Slum,Makoko,3.36,83,27.55,6.92,5.0,2.0,6.0,13.0,High,2019,3,1,63,Dry
36,2019-07-05,Urban Slum,Makoko,3.41,89,20.85,7.05,6.0,0.0,8.0,14.0,High,2019,7,3,185,Rainy
37,2019-10-05,Urban Slum,Makoko,7.39,89,15.05,6.76,8.0,2.0,5.0,15.0,High,2019,10,4,277,Rainy
38,2019-05-14,Urban Slum,Makoko,4.5,133,18.7,6.35,8.0,4.0,4.0,16.0,High,2019,5,2,133,Rainy
39,2019-05-17,Urban Slum,Makoko,3.83,113,19.43,6.85,4.0,5.0,5.0,14.0,High,2019,5,2,136,Rainy
40,2019-05-21,Urban Slum,Makoko,3.33,135,24.68,7.18,4.0,3.0,6.0,13.0,High,2019,5,2,140,Rainy
41,2019-05-24,Urban Slum,Makoko,3.38,112,22.97,6.71,1.0,1.0,6.0,8.0,Medium,2019,5,2,143,Rainy
42,2019-05-28,Urban Slum,Makoko,6.97,64,23.78,6.38,6.0,5.0,3.0,14.0,High,2019,5,2,147,Rainy
43,2019-05-31,Urban Slum,Makoko,5.26,96,20.09,6.9,2.0,3.0,4.0,9.0,Medium,2019,5,2,150,Rainy
44,2019-04-06,Urban Slum,Makoko,5.38,119,28.33,7.1,5.0,2.0,6.0,13.0,High,2019,4,2,95,Rainy
45,2019-07-06,Urban Slum,Makoko,3.58,152,22.47,6.86,5.0,5.0,10.0,20.0,High,2019,7,3,186,Rainy
46,2019-11-06,Urban Slum,Makoko,3.02,95,25.32,6.84,10.0,5.0,10.0,25.0,High,2019,11,4,309,Dry
47,2019-06-14,Urban Slum,Makoko,2.89,110,14.79,7.18,5.0,4.0,5.0,14.0,High,2019,6,2,164,Rainy
48,2019-06-18,Urban Slum,Makoko,4.22,128,31.49,6.69,9.0,2.0,3.0,14.0,High,2019,6,2,168,Rainy
49,2019-06-21,Urban Slum,Makoko,3.39,113,19.17,6.55,11.0,2.0,7.0,20.0,High,2019,6,2,171,Rainy
50,2019-06-25,Urban Slum,Makoko,7.13,88,15.84,6.94,6.0,2.0,7.0,15.0,High,2019,6,2,175,Rainy
51,2019-06-28,Urban Slum,Makoko,2.93,85,19.83,7.34,3.0,5.0,9.0,17.0,High,2019,6,2,178,Rainy
52,2019-02-07,Urban Slum,Makoko,6.6,123,26.91,6.99,5.0,6.0,8.0,19.0,High,2019,2,1,37,Dry
53,2019-05-07,Urban Slum,Makoko,5.37,131,19.52,6.88,8.0,3.0,6.0,17.0,High,2019,5,2,126,Rainy
54,2019-09-07,Urban Slum,Makoko,7.35,98,17.22,7.36,7.0,3.0,6.0,16.0,High,2019,9,3,249,Rainy
55,2019-12-07,Urban Slum,Makoko,6.35,95,16.45,6.6,6.0,6.0,4.0,16.0,High,2019,12,4,340,Dry
56,2019-07-16,Urban Slum,Makoko,3.99,136,19.8,6.37,6.0,3.0,6.0,15.0,High,2019,7,3,196,Rainy
57,2019-07-19,Urban Slum,Makoko,4.99,76,27.52,7.06,1.0,2.0,1.0,4.0,Low,2019,7,3,199,Rainy
58,2019-07-23,Urban Slum,Makoko,4.73,85,20.98,6.48,4.0,2.0,5.0,11.0,High,2019,7,3,203,Rainy
59,2019-07-26,Urban Slum,Makoko,4.13,121,20.57,7.09,6.0,3.0,8.0,17.0,High,2019,7,3,206,Rainy
60,2019-07-30,Urban Slum,Makoko,3.31,111,17.49,6.86,5.0,4.0,9.0,18.0,High,2019,7,3,210,Rainy
61,2019-02-08,Urban Slum,Makoko,7.21,127,16.87,6.92,10.0,4.0,8.0,22.0,High,2019,2,1,38,Dry
62,2019-06-08,Urban Slum,Makoko,1.86,105,18.7,7.17,4.0,1.0,7.0,12.0,High,2019,6,2,158,Rainy
63,2019-09-08,Urban Slum,Makoko,4.89,99,23.64,6.82,2.0,3.0,3.0,8.0,Medium,2019,9,3,250,Rainy
64,2019-08-13,Urban Slum,Makoko,5.21,109,19.33,7.13,4.0,5.0,9.0,18.0,High,2019,8,3,224,Rainy
65,2019-08-16,Urban Slum,Makoko,5.3,121,25.53,7.16,7.0,8.0,8.0,23.0,High,2019,8,3,227,Rainy
66,2019-08-20,Urban Slum,Makoko,3.36,71,27.97,6.55,4.0,0.0,6.0,10.0,High,2019,8,3,231,Rainy
67,2019-08-23,Urban Slum,Makoko,4.32,99,14.22,6.34,8.0,1.0,4.0,13.0,High,2019,8,3,234,Rainy
68,2019-08-27,Urban Slum,Makoko,4.72,111,19.83,6.51,7.0,2.0,5.0,14.0,High,2019,8,3,238,Rainy
69,2019-08-30,Urban Slum,Makoko,2.61,108,19.9,6.97,8.0,5.0,6.0,19.0,High,2019,8,3,241,Rainy
70,2019-03-09,Urban Slum,Makoko,3.75,142,14.06,6.89,4.0,6.0,8.0,18.0,High,2019,3,1,67,Dry
71,2019-06-09,Urban Slum,Makoko,5.45,89,11.88,6.97,3.0,2.0,2.0,7.0,Medium,2019,6,2,159,Rainy
72,2019-10-09,Urban Slum,Makoko,4.07,114,25.16,6.83,10.0,4.0,5.0,19.0,High,2019,10,4,281,Rainy
73,2019-09-13,Urban Slum,Makoko,4.2,71,20.36,7.03,5.0,3.0,2.0,10.0,High,2019,9,3,255,Rainy
74,2019-09-17,Urban Slum,Makoko,2.25,110,14.48,6.15,9.0,6.0,6.0,21.0,High,2019,9,3,259,Rainy
75,2019-09-20,Urban Slum,Makoko,4.96,116,26.95,6.97,5.0,1.0,7.0,13.0,High,2019,9,3,262,Rainy
76,2019-09-24,Urban Slum,Makoko,3.19,111,27.65,7.17,4.0,4.0,2.0,10.0,High,2019,9,3,266,Rainy
77,2019-09-27,Urban Slum,Makoko,5.45,87,20.08,6.58,7.0,3.0,4.0,14.0,High,2019,9,3,269,Rainy
78,2019-01-10,Urban Slum,Makoko,4.14,48,17.27,6.92,2.0,4.0,1.0,7.0,Medium,2019,1,1,9,Dry
79,2019-04-10,Urban Slum,Makoko,6.79,96,19.86,6.52,6.0,7.0,5.0,18.0,High,2019,4,2,99,Rainy
80,2019-08-10,Urban Slum,Makoko,5.41,115,16.8,6.85,5.0,2.0,1.0,8.0,Medium,2019,8,3,221,Rainy
81,2019-11-10,Urban Slum,Makoko,2.98,80,26.0,6.6,3.0,3.0,2.0,8.0,Medium,2019,11,4,313,Dry
82,2019-10-15,Urban Slum,Makoko,5.91,126,13.74,6.65,8.0,7.0,7.0,22.0,High,2019,10,4,287,Rainy
83,2019-10-18,Urban Slum,Makoko,4.67,94,21.54,7.04,12.0,3.0,4.0,19.0,High,2019,10,4,290,Rainy
84,2019-10-22,Urban Slum,Makoko,6.86,100,21.54,7.31,9.0,0.0,5.0,14.0,High,2019,10,4,294,Rainy
85,2019-10-25,Urban Slum,Makoko,5.39,71,23.6,7.23,4.0,1.0,4.0,9.0,Medium,2019,10,4,297,Rainy
86,2019-10-29,Urban Slum,Makoko,4.32,83,15.91,6.17,6.0,3.0,3.0,12.0,High,2019,10,4,301,Rainy
87,2019-01-11,Urban Slum,Makoko,7.31,140,30.31,7.16,7.0,6.0,8.0,21.0,High,2019,1,1,10,Dry
88,2019-05-11,Urban Slum,Makoko,6.83,111,18.87,6.51,7.0,2.0,7.0,16.0,High,2019,5,2,130,Rainy
89,2019-08-11,Urban Slum,Makoko,4.71,127,14.44,6.78,8.0,4.0,5.0,17.0,High,2019,8,3,222,Rainy
90,2019-12-11,Urban Slum,Makoko,4.54,131,17.37,6.8,6.0,3.0,6.0,15.0,High,2019,12,4,344,Dry
91,2019-11-15,Urban Slum,Makoko,3.33,111,13.33,7.52,5.0,4.0,5.0,14.0,High,2019,11,4,318,Dry
92,2019-11-19,Urban Slum,Makoko,3.39,41,22.18,7.07,4.0,2.0,0.0,6.0,Medium,2019,11,4,322,Dry
93,2019-11-22,Urban Slum,Makoko,4.06,112,16.45,6.65,10.0,1.0,7.0,18.0,High,2019,11,4,325,Dry
94,2019-11-26,Urban Slum,Makoko,5.17,71,24.6,6.6,6.0,5.0,3.0,14.0,High,2019,11,4,329,Dry
95,2019-11-29,Urban Slum,Makoko,5.45,115,19.0,6.45,10.0,3.0,6.0,19.0,High,2019,11,4,332,Dry
96,2019-03-12,Urban Slum,Makoko,5.41,106,29.04,6.91,8.0,3.0,6.0,17.0,High,2019,3,1,70,Dry
97,2019-06-12,Urban Slum,Makoko,4.85,124,20.19,6.84,5.0,6.0,2.0,13.0,High,2019,6,2,162,Rainy
98,2019-10-12,Urban Slum,Makoko,6.54,73,23.62,7.0,5.0,4.0,3.0,12.0,High,2019,10,4,284,Rainy
99,2019-12-13,Urban Slum,Makoko,5.5,103,23.55,6.67,7.0,3.0,4.0,14.0,High,2019,12,4,346,Dry
100,2019-12-17,Urban Slum,Makoko,2.17,94,11.97,7.03,5.0,3.0,2.0,10.0,High,2019,12,4,350,Dry
101,2019-12-20,Urban Slum,Makoko,5.11,123,15.36,6.87,9.0,8.0,7.0,24.0,High,2019,12,4,353,Dry
102,2019-12-24,Urban Slum,Makoko,8.44,102,19.47,6.74,3.0,4.0,4.0,11.0,High,2019,12,4,357,Dry
103,2019-12-27,Urban Slum,Makoko,6.63,88,22.4,7.62,5.0,6.0,6.0,17.0,High,2019,12,4,360,Dry
104,2019-12-31,Urban Slum,Makoko,6.38,89,20.72,6.62,5.0,2.0,5.0,12.0,High,2019,12,4,364,Dry
105,2020-03-01,Urban Slum,Makoko,4.85,100,23.54,6.87,6.0,1.0,4.0,11.0,High,2020,3,1,425,Dry
106,2020-07-01,Urban Slum,Makoko,5.24,79,26.33,6.54,8.0,6.0,5.0,19.0,High,2020,7,3,547,Rainy
107,2020-10-01,Urban Slum,Makoko,3.34,95,18.46,7.03,1.0,3.0,5.0,9.0,Medium,2020,10,4,639,Rainy
108,2020-01-14,Urban Slum,Makoko,4.96,105,15.95,6.93,5.0,1.0,1.0,7.0,Medium,2020,1,1,378,Dry
109,2020-01-17,Urban Slum,Makoko,4.61,131,22.8,6.71,11.0,6.0,3.0,20.0,High,2020,1,1,381,Dry
110,2020-01-21,Urban Slum,Makoko,3.11,82,20.31,6.95,4.0,5.0,3.0,12.0,High,2020,1,1,385,Dry
111,2020-01-24,Urban Slum,Makoko,8.97,69,21.27,6.94,5.0,3.0,6.0,14.0,High,2020,1,1,388,Dry
112,2020-01-28,Urban Slum,Makoko,5.96,85,21.2,6.07,10.0,4.0,5.0,19.0,High,2020,1,1,392,Dry
113,2020-01-31,Urban Slum,Makoko,7.94,95,24.76,7.13,5.0,1.0,4.0,10.0,High,2020,1,1,395,Dry
114,2020-04-02,Urban Slum,Makoko,6.09,110,16.79,6.93,8.0,2.0,4.0,14.0,High,2020,4,2,457,Rainy
115,2020-07-02,Urban Slum,Makoko,5.05,112,17.68,6.73,4.0,3.0,9.0,16.0,High,2020,7,3,548,Rainy
116,2020-11-02,Urban Slum,Makoko,7.04,73,4.9,6.86,4.0,5.0,4.0,13.0,High,2020,11,4,671,Dry
117,2020-02-14,Urban Slum,Makoko,4.21,103,15.89,7.14,0.0,1.0,4.0,5.0,Medium,2020,2,1,409,Dry
118,2020-02-18,Urban Slum,Makoko,6.24,82,16.71,6.71,8.0,3.0,3.0,14.0,High,2020,2,1,413,Dry
119,2020-02-21,Urban Slum,Makoko,5.78,83,20.96,6.82,7.0,4.0,3.0,14.0,High,2020,2,1,416,Dry
120,2020-02-25,Urban Slum,Makoko,4.32,129,21.63,6.89,8.0,6.0,4.0,18.0,High,2020,2,1,420,Dry
121,2020-02-28,Urban Slum,Makoko,2.38,102,12.37,6.46,1.0,4.0,0.0,5.0,Medium,2020,2,1,423,Dry
122,2020-03-03,Urban Slum,Makoko,5.81,99,30.09,6.86,6.0,3.0,1.0,10.0,High,2020,3,1,427,Dry
123,2020-06-03,Urban Slum,Makoko,5.15,130,13.8,6.36,1.0,4.0,5.0,10.0,High,2020,6,2,519,Rainy
124,2020-10-03,Urban Slum,Makoko,3.89,84,28.36,6.77,8.0,2.0,4.0,14.0,High,2020,10,4,641,Rainy
125,2020-03-13,Urban Slum,Makoko,5.75,122,27.9,6.5,7.0,1.0,6.0,14.0,High,2020,3,1,437,Dry
126,2020-03-17,Urban Slum,Makoko,4.21,104,24.21,6.61,4.0,2.0,12.0,18.0,High,2020,3,1,441,Dry
127,2020-03-20,Urban Slum,Makoko,8.04,72,20.95,6.6,10.0,4.0,3.0,17.0,High,2020,3,1,444,Dry
128,2020-03-24,Urban Slum,Makoko,3.12,112,24.41,6.66,3.0,3.0,5.0,11.0,High,2020,3,1,448,Dry
129,2020-03-27,Urban Slum,Makoko,7.13,87,10.67,7.1,6.0,3.0,1.0,10.0,High,2020,3,1,451,Dry
130,2020-03-31,Urban Slum,Makoko,5.32,96,12.3,7.4,10.0,3.0,3.0,16.0,High,2020,3,1,455,Dry
131,2020-03-04,Urban Slum,Makoko,1.09,103,22.18,6.92,7.0,1.0,2.0,10.0,High,2020,3,1,428,Dry
132,2020-07-04,Urban Slum,Makoko,6.04,48,16.34,6.49,2.0,3.0,4.0,9.0,Medium,2020,7,3,550,Rainy
133,2020-10-04,Urban Slum,Makoko,6.3,111,17.7,6.46,10.0,3.0,5.0,18.0,High,2020,10,4,642,Rainy
134,2020-04-14,Urban Slum,Makoko,7.99,162,23.03,6.75,19.0,5.0,7.0,31.0,High,2020,4,2,469,Rainy
135,2020-04-17,Urban Slum,Makoko,5.75,100,20.04,6.6,8.0,5.0,4.0,17.0,High,2020,4,2,472,Rainy
136,2020-04-21,Urban Slum,Makoko,4.45,102,11.12,6.92,6.0,4.0,5.0,15.0,High,2020,4,2,476,Rainy
137,2020-04-24,Urban Slum,Makoko,4.46,73,17.93,6.88,4.0,3.0,5.0,12.0,High,2020,4,2,479,Rainy
138,2020-04-28,Urban Slum,Makoko,3.76,86,11.26,6.76,5.0,2.0,4.0,11.0,High,2020,4,2,483,Rainy
139,2020-01-05,Urban Slum,Makoko,6.78,120,12.13,7.08,9.0,4.0,7.0,20.0,High,2020,1,1,369,Dry
140,2020-05-05,Urban Slum,Makoko,4.96,96,21.13,6.69,5.0,5.0,3.0,13.0,High,2020,5,2,490,Rainy
141,2020-08-05,Urban Slum,Makoko,3.82,86,15.42,6.55,5.0,7.0,4.0,16.0,High,2020,8,3,582,Rainy
142,2020-12-05,Urban Slum,Makoko,5.23,115,11.41,6.89,10.0,3.0,2.0,15.0,High,2020,12,4,704,Dry
143,2020-05-15,Urban Slum,Makoko,3.96,100,23.97,6.8,5.0,1.0,5.0,11.0,High,2020,5,2,500,Rainy
144,2020-05-19,Urban Slum,Makoko,3.49,77,20.5,6.3,8.0,4.0,3.0,15.0,High,2020,5,2,504,Rainy
145,2020-05-22,Urban Slum,Makoko,5.63,116,20.87,6.85,7.0,2.0,4.0,13.0,High,2020,5,2,507,Rainy
146,2020-05-26,Urban Slum,Makoko,4.58,108,16.1,6.71,4.0,2.0,8.0,14.0,High,2020,5,2,511,Rainy
147,2020-05-29,Urban Slum,Makoko,1.05,100,21.64,7.08,3.0,2.0,3.0,8.0,Medium,2020,5,2,514,Rainy
148,2020-02-06,Urban Slum,Makoko,0.97,105,19.77,6.57,4.0,6.0,6.0,16.0,High,2020,2,1,401,Dry
149,2020-05-06,Urban Slum,Makoko,6.86,90,19.79,6.82,5.0,2.0,6.0,13.0,High,2020,5,2,491,Rainy
150,2020-09-06,Urban Slum,Makoko,4.06,96,16.98,6.14,3.0,3.0,5.0,11.0,High,2020,9,3,614,Rainy
151,2020-12-06,Urban Slum,Makoko,6.06,115,20.42,7.22,8.0,6.0,5.0,19.0,High,2020,12,4,705,Dry
152,2020-06-16,Urban Slum,Makoko,4.44,71,20.08,7.07,2.0,4.0,5.0,11.0,High,2020,6,2,532,Rainy
153,2020-06-19,Urban Slum,Makoko,5.9,81,22.32,6.39,6.0,3.0,1.0,10.0,High,2020,6,2,535,Rainy
154,2020-06-23,Urban Slum,Makoko,4.5,109,17.31,6.82,11.0,3.0,5.0,19.0,High,2020,6,2,539,Rainy
155,2020-06-26,Urban Slum,Makoko,6.82,88,10.94,6.99,2.0,3.0,11.0,16.0,High,2020,6,2,542,Rainy
156,2020-06-30,Urban Slum,Makoko,5.75,72,21.84,6.17,7.0,5.0,5.0,17.0,High,2020,6,2,546,Rainy
157,2020-03-07,Urban Slum,Makoko,6.85,133,22.81,6.54,7.0,7.0,5.0,19.0,High,2020,3,1,431,Dry
158,2020-07-07,Urban Slum,Makoko,4.89,90,20.98,6.57,8.0,2.0,6.0,16.0,High,2020,7,3,553,Rainy
159,2020-10-07,Urban Slum,Makoko,5.51,106,16.67,6.75,4.0,3.0,6.0,13.0,High,2020,10,4,645,Rainy
160,2020-07-14,Urban Slum,Makoko,4.43,88,26.85,6.46,3.0,3.0,4.0,10.0,High,2020,7,3,560,Rainy
161,2020-07-17,Urban Slum,Makoko,5.28,153,21.75,6.5,6.0,9.0,11.0,26.0,High,2020,7,3,563,Rainy
162,2020-07-21,Urban Slum,Makoko,4.21,60,17.54,6.9,3.0,3.0,3.0,9.0,Medium,2020,7,3,567,Rainy
163,2020-07-24,Urban Slum,Makoko,3.06,105,15.46,6.59,7.0,2.0,6.0,15.0,High,2020,7,3,570,Rainy
164,2020-07-28,Urban Slum,Makoko,4.46,110,21.48,6.91,5.0,2.0,5.0,12.0,High,2020,7,3,574,Rainy
165,2020-07-31,Urban Slum,Makoko,4.09,109,6.26,6.65,6.0,3.0,4.0,13.0,High,2020,7,3,577,Rainy
166,2020-04-08,Urban Slum,Makoko,1.87,134,18.56,6.89,3.0,3.0,5.0,11.0,High,2020,4,2,463,Rainy
167,2020-07-08,Urban Slum,Makoko,3.9,115,23.43,7.35,3.0,5.0,11.0,19.0,High,2020,7,3,554,Rainy
168,2020-11-08,Urban Slum,Makoko,6.31,129,16.98,6.73,8.0,2.0,7.0,17.0,High,2020,11,4,677,Dry
169,2020-08-14,Urban Slum,Makoko,5.7,130,15.26,7.32,9.0,5.0,5.0,19.0,High,2020,8,3,591,Rainy
170,2020-08-18,Urban Slum,Makoko,6.37,102,26.32,6.55,8.0,4.0,3.0,15.0,High,2020,8,3,595,Rainy
171,2020-08-21,Urban Slum,Makoko,7.27,112,20.36,6.74,8.0,3.0,3.0,14.0,High,2020,8,3,598,Rainy
172,2020-08-25,Urban Slum,Makoko,2.88,113,10.67,7.11,8.0,4.0,6.0,18.0,High,2020,8,3,602,Rainy
173,2020-08-28,Urban Slum,Makoko,5.29,108,17.45,6.81,7.0,4.0,4.0,15.0,High,2020,8,3,605,Rainy
174,2020-01-09,Urban Slum,Makoko,5.64,123,13.14,6.59,5.0,2.0,3.0,10.0,High,2020,1,1,373,Dry
175,2020-04-09,Urban Slum,Makoko,5.23,120,20.07,6.33,15.0,6.0,6.0,27.0,High,2020,4,2,464,Rainy
176,2020-08-09,Urban Slum,Makoko,7.26,86,26.54,6.45,6.0,3.0,4.0,13.0,High,2020,8,3,586,Rainy
177,2020-11-09,Urban Slum,Makoko,1.63,125,18.36,6.7,5.0,0.0,4.0,9.0,Medium,2020,11,4,678,Dry
178,2020-09-15,Urban Slum,Makoko,4.44,89,17.03,6.77,3.0,1.0,2.0,6.0,Medium,2020,9,3,623,Rainy
179,2020-09-18,Urban Slum,Makoko,2.4,129,20.21,6.93,6.0,4.0,6.0,16.0,High,2020,9,3,626,Rainy
180,2020-09-22,Urban Slum,Makoko,6.02,84,19.95,6.6,5.0,3.0,4.0,12.0,High,2020,9,3,630,Rainy
181,2020-09-25,Urban Slum,Makoko,4.86,91,15.27,6.98,6.0,5.0,4.0,15.0,High,2020,9,3,633,Rainy
182,2020-09-29,Urban Slum,Makoko,6.34,136,17.95,7.01,13.0,4.0,5.0,22.0,High,2020,9,3,637,Rainy
183,2020-02-10,Urban Slum,Makoko,4.32,117,24.51,7.31,8.0,3.0,3.0,14.0,High,2020,2,1,405,Dry
184,2020-06-10,Urban Slum,Makoko,3.73,124,23.9,6.79,3.0,1.0,7.0,11.0,High,2020,6,2,526,Rainy
185,2020-09-10,Urban Slum,Makoko,5.28,118,20.06,7.66,5.0,3.0,7.0,15.0,High,2020,9,3,618,Rainy
186,2020-10-13,Urban Slum,Makoko,3.68,85,25.93,7.23,3.0,3.0,4.0,10.0,High,2020,10,4,651,Rainy
187,2020-10-16,Urban Slum,Makoko,7.3,86,18.11,6.88,0.0,3.0,6.0,9.0,Medium,2020,10,4,654,Rainy
188,2020-10-20,Urban Slum,Makoko,7.13,68,13.06,6.62,2.0,3.0,6.0,11.0,High,2020,10,4,658,Rainy
189,2020-10-23,Urban Slum,Makoko,6.81,122,16.04,6.68,11.0,5.0,5.0,21.0,High,2020,10,4,661,Rainy
190,2020-10-27,Urban Slum,Makoko,6.77,145,23.29,6.42,10.0,6.0,3.0,19.0,High,2020,10,4,665,Rainy
191,2020-10-30,Urban Slum,Makoko,6.15,120,26.12,6.45,9.0,2.0,6.0,17.0,High,2020,10,4,668,Rainy
192,2020-03-11,Urban Slum,Makoko,4.68,119,27.92,6.46,8.0,4.0,4.0,16.0,High,2020,3,1,435,Dry
193,2020-06-11,Urban Slum,Makoko,8.25,123,21.06,7.11,8.0,3.0,9.0,20.0,High,2020,6,2,527,Rainy
194,2020-10-11,Urban Slum,Makoko,5.84,83,19.49,6.65,7.0,3.0,3.0,13.0,High,2020,10,4,649,Rainy
195,2020-11-13,Urban Slum,Makoko,5.2,88,18.83,7.04,3.0,6.0,6.0,15.0,High,2020,11,4,682,Dry
196,2020-11-17,Urban Slum,Makoko,6.65,138,27.0,6.97,6.0,2.0,7.0,15.0,High,2020,11,4,686,Dry
197,2020-11-20,Urban Slum,Makoko,5.19,85,25.07,6.85,3.0,0.0,3.0,6.0,Medium,2020,11,4,689,Dry
198,2020-11-24,Urban Slum,Makoko,4.32,95,19.54,6.78,7.0,2.0,0.0,9.0,Medium,2020,11,4,693,Dry
199,2020-11-27,Urban Slum,Makoko,6.73,127,18.49,6.02,4.0,6.0,6.0,16.0,High,2020,11,4,696,Dry
200,2020-01-12,Urban Slum,Makoko,3.65,73,22.51,6.7,5.0,4.0,4.0,13.0,High,2020,1,1,376,Dry
201,2020-04-12,Urban Slum,Makoko,4.62,78,8.95,7.13,5.0,5.0,4.0,14.0,High,2020,4,2,467,Rainy
202,2020-08-12,Urban Slum,Makoko,7.25,137,19.48,6.43,7.0,7.0,5.0,19.0,High,2020,8,3,589,Rainy
203,2020-11-12,Urban Slum,Makoko,2.24,99,23.2,6.84,4.0,3.0,2.0,9.0,Medium,2020,11,4,681,Dry
204,2020-12-15,Urban Slum,Makoko,5.34,118,18.51,7.19,6.0,5.0,3.0,14.0,High,2020,12,4,714,Dry
205,2020-12-18,Urban Slum,Makoko,3.92,68,26.68,7.15,3.0,7.0,2.0,12.0,High,2020,12,4,717,Dry
206,2020-12-22,Urban Slum,Makoko,5.5,95,15.88,6.58,7.0,5.0,8.0,20.0,High,2020,12,4,721,Dry
207,2020-12-25,Urban Slum,Makoko,5.03,70,16.56,6.27,5.0,6.0,3.0,14.0,High,2020,12,4,724,Dry
208,2020-12-29,Urban Slum,Makoko,3.52,99,15.94,6.47,10.0,3.0,5.0,18.0,High,2020,12,4,728,Dry
